	GO biological process	GO cellular component	GO molecular function
b0001	GO0031554,GO0031556,GO0008652,GO0009088,GO0031555	GO0005829	
b0002	GO0009067,GO0008652,GO0008152,GO0006520,GO0016310,GO0055114,GO0009088,GO0009089,GO0009090		GO0016740,GO0016491,GO0016301,GO0003824,GO0050661,GO0005524,GO0000166,GO0004412,GO0004072
b0003	GO0008652,GO0006566,GO0016310,GO0009088	GO0005737,GO0005829	GO0016740,GO0016301,GO0005524,GO0000166,GO0004413
b0004	GO0008652,GO0006520,GO0009088	GO0005829	GO0016829,GO0030170,GO0004795
b0005			
b0006	GO0033194	GO0005829	
b0007	GO0055085,GO0006814,GO0032328	GO0016021,GO0016020,GO0005886	GO0015655,GO0015293,GO0005283
b0008	GO0006098,GO0005975,GO0009052	GO0005737,GO0005829	GO0016740,GO0003824,GO0004801,GO0016744
b0009	GO0006777,GO0032324	GO0005829	GO0016740,GO0005524,GO0000166,GO0005515,GO0042802,GO0061598
b0010	GO1902600,GO0006811,GO0035433,GO0071422	GO0016021,GO0016020,GO0005887,GO0005886	GO0015293,GO0015360
b0011			
b0012			
b0013			
b0014	GO1903507,GO0006457,GO0006260,GO0065003,GO0032984,GO0051085,GO0034620,GO0043335,GO0009408	GO0016234,GO0032991,GO0005886,GO0016020,GO0005737,GO0005829	GO0016887,GO0008270,GO0000166,GO0051087,GO0016989,GO0043531,GO0044183,GO0051082,GO0005524,GO0005515
b0015	GO1903507,GO0065003,GO0055114,GO0006457,GO0042026,GO0006260,GO0051085,GO0016032,GO0043335,GO0009408	GO0032991,GO0016020,GO0005737,GO0005829	GO0051087,GO0046872,GO0031072,GO0005524,GO0003756,GO0051082,GO0008270,GO0015035,GO0016989,GO0042803,GO0005515
b0016	GO0032196,GO0006313,GO0006310	GO0005829	GO0004803,GO0003677
b0018		GO0005886,GO0016021,GO0016020,GO0005887	
b0019	GO0036376,GO0006883,GO0006814,GO0006811,GO0006885,GO0051453,GO0010446,GO0009651	GO0016020,GO0016021,GO0005886,GO0005887	GO0015081,GO0015297,GO0015385,GO1901612
b0020	GO2000142,GO0006355,GO2000144	GO0005737,GO0005829	GO0003700,GO0003677,GO0001216
b0021	GO0032196,GO0006313,GO0006310	GO0005829	GO0004803,GO0003677
b0022	GO0032196,GO0006310,GO0006313		
b0023	GO0000028,GO0043086,GO0006412	GO0015935,GO0005840,GO0005829,GO0022627	GO0019843,GO0003723,GO0003735,GO0070181,GO0008073
b0024	GO0006974		
b0025	GO0006771,GO0016310,GO0008152,GO0009231,GO0009398,GO0006747	GO0005829	GO0005515,GO0016779,GO0016740,GO0016301,GO0003824,GO0005524,GO0000166,GO0008531,GO0003919
b0026	GO0106074,GO0006418,GO0046677,GO0006412,GO0006428	GO0005737,GO0005829	GO0005515,GO0000049,GO0002161,GO0046872,GO0016874,GO0005524,GO0004812,GO0000166,GO0008270,GO0004822
b0027	GO0006508,GO0097304	GO0016021,GO0016020,GO0005887,GO0005886	GO0016787,GO0008233,GO0004190,GO0004175
b0028	GO0000413,GO0061077	GO0005829	GO0016853,GO0005515,GO0003755
b0029	GO0016114,GO0050992,GO0055114,GO0008299,GO0019288	GO0005829	GO0051539,GO0016491,GO0051745,GO0051536,GO0046872,GO0051538,GO0042380
b0030	GO0006206,GO0006144,GO0006152,GO0008152,GO0006974,GO0042454	GO0005829	GO0008477,GO0016799,GO0016798,GO0016787,GO0050263,GO0047724,GO0045437,GO0047622
b0031	GO0009089,GO0009085,GO0008652,GO0055114,GO0019877	GO0005737,GO0005829	GO0051287,GO0050661,GO0016726,GO0016491,GO0042802,GO0008839
b0032	GO0006807,GO0008652,GO0044205,GO0006207,GO0006541,GO0006526,GO0006221	GO0005737,GO0005951,GO0005829	GO0000166,GO0016874,GO0005524,GO0005515,GO0004088
b0033	GO0006541,GO0006807,GO0044205,GO0019856,GO0008652,GO0006526,GO0006221	GO0005737,GO0005829,GO0005951	GO0016874,GO0004087,GO0016597,GO0046872,GO0005515,GO0000166,GO0004088,GO0005524
b0034	GO0009437,GO0006355,GO0006351	GO0005829	GO0003700
b0035	GO0009437	GO0005829	GO0016740
b0036	GO0009437,GO0042413	GO0005829	GO0003824,GO0008809,GO0016829,GO0016836
b0037	GO0009437	GO0005829	GO0016405,GO0005515,GO0016874,GO0003824,GO0016878,GO0051108,GO0051109
b0038	GO0009437,GO0042413	GO0005737,GO0005829	GO0008410,GO0016782,GO0008735,GO0016740
b0039	GO0009437,GO0055114	GO0005737,GO0005829	GO0052890,GO0050660,GO0016627,GO0003995,GO0016491
b0040	GO0071705,GO1900749,GO1902603,GO1902270,GO0055085,GO1900751,GO0009437,GO0015879	GO0016020,GO0005886,GO0016021	GO0022857,GO0044667,GO0015297,GO0015226
b0041	GO0022900,GO0055114,GO0009437,GO0042413		GO0005515,GO0009055
b0042	GO0022900,GO0033539,GO0055114,GO0009437,GO0042413		GO0005515,GO0050660,GO0009055
b0043	GO0009437,GO0055114	GO0005829	GO0071949,GO0016491
b0044	GO0055114	GO0005829	GO0005515,GO0005506,GO0051539,GO0051536,GO0046872
b0045	GO0055085,GO0006979	GO0016021,GO0016020,GO0005886	GO0022857
b0046	GO1901381,GO0022900,GO0006813,GO0055114,GO0032414	GO0016020,GO0005886,GO0005829	GO0005515,GO0016491,GO0009055,GO0042803,GO0003955,GO0010181
b0047	GO0055085,GO1902600,GO0098655,GO0071805,GO0006812,GO0006811,GO0006885,GO0051595,GO0009636,GO0006813	GO0016021,GO0005886,GO0016020,GO0005887	GO0015079,GO0008324,GO0015299,GO0000166,GO0015297,GO0042803,GO0019899,GO0015643,GO0005515,GO0015503
b0048	GO0046655,GO0046452,GO0046654,GO0006545,GO0055114,GO0046677,GO0031427,GO0006730,GO0042493,GO0046656,GO0009257	GO0005829	GO0070402,GO0070401,GO0051871,GO0051870,GO0005542,GO0005515,GO0016491,GO0050661,GO0004146
b0049	GO0015949,GO0110154,GO0010165	GO0005829	GO0016787,GO0008796,GO0008803
b0050		GO0030288	
b0051	GO0031167,GO0032259,GO0000154,GO0046677,GO0070475,GO0000028,GO0006364	GO0005737,GO0005829	GO0016433,GO0008649,GO0016740,GO0008168,GO0003723,GO0052908,GO0003729,GO0019843,GO0003690,GO0000179
b0052	GO0055114,GO0042823,GO0008615	GO0005737,GO0005829	GO0050897,GO0000287,GO0042802,GO0046872,GO0016491,GO0051287,GO0042803,GO0008270,GO0050570
b0053	GO0060274,GO0050821,GO0000413,GO0036506,GO0061077,GO0043165,GO0006457	GO0042597,GO0030288	GO0042277,GO0016853,GO0005515,GO0051082,GO0003755
b0054	GO0015921,GO0061024,GO0015920,GO0043165,GO0010033	GO0019867,GO0016020,GO1990351,GO0009279	GO0005515
b0055		GO0016021,GO0005887,GO0005886,GO0016020	GO0051087
b0056			
b0057			
b0058	GO0031118,GO0009451,GO0008033,GO0006364,GO0001522,GO0031119,GO0000455	GO0005829	GO0016853,GO0003723,GO0120159,GO0106029,GO0009982
b0059	GO0006355,GO0045893	GO0005737	GO0016817,GO0016787,GO0005524,GO0004386,GO0003677,GO0000166,GO0001000,GO0005515,GO0016887,GO0003676
b0060	GO0090305,GO0071897,GO0006974,GO0006281,GO0045004,GO0009432,GO0006261	GO0005829	GO0016779,GO0016740,GO0003676,GO0000166,GO0003677,GO0008296,GO0003887
b0061	GO0019323,GO0019572,GO0019568,GO0005975,GO0051289,GO0019324,GO0019569	GO0032991,GO0005829	GO0016832,GO0016853,GO0008270,GO0046872,GO0042802,GO0008742
b0062	GO0005996,GO0005975,GO0019568,GO0019569	GO0005737,GO0005829	GO0030145,GO0016861,GO0016853,GO0046872,GO0008733
b0063	GO0046835,GO0016052,GO0005975,GO0016310,GO0019572,GO0019568,GO0019569	GO0005737	GO0016773,GO0016740,GO0016301,GO0005524,GO0000166,GO0008741
b0064	GO0045892,GO0005975,GO0006355,GO0019568	GO0032993,GO0005737,GO0005829	GO0001217,GO0000976,GO0042802,GO0005515,GO0043565,GO0003700,GO0003677
b0065	GO0010212,GO0043093	GO0016021,GO0016020,GO0005886	
b0066	GO0015888,GO0071934	GO0016021,GO0016020,GO0043190,GO0005886	GO0048502,GO0042626,GO0016887,GO0000166,GO0015234,GO0005524
b0067	GO0055085,GO0015888,GO0071934	GO0016021,GO0016020,GO0005887,GO0043190,GO0005886	GO0022857,GO0015234
b0068	GO0055085,GO0015888	GO0042597,GO0030288	GO0030976,GO0030975
b0069	GO0015833,GO0045893,GO0045892	GO0030288,GO0005829	GO1904680,GO0003677,GO0000984
b0070	GO1904659,GO1902600,GO0008643,GO0055085,GO0015767,GO0034219,GO0036448	GO0016020,GO0016021,GO0005887,GO0005886	GO0022857,GO0005351
b0071	GO0009082,GO0008652,GO0009098	GO0005829,GO0009316	GO0005515,GO0016829,GO0003861
b0072	GO0009082,GO0008652,GO0009098	GO0009316,GO0005829	GO0005515,GO0016829,GO0051536,GO0046872,GO0003861,GO0051539
b0073	GO0009082,GO0008652,GO0034198,GO0055114,GO0009098	GO0005737,GO0005829	GO0016616,GO0016491,GO0051287,GO0030145,GO0000287,GO0046872,GO0003862
b0074	GO0019752,GO0009082,GO0008652,GO0009098	GO0005829	GO0016740,GO0003824,GO0046912,GO0003852,GO0003985
b0075	GO0009082,GO0008652,GO0031556,GO0009098	GO0005829	
b0076	GO0006355	GO0032993,GO0005829	GO0043565,GO0003700,GO0003677
b0077	GO0009082,GO0008652,GO0009097,GO0009099	GO0005948,GO0005829	GO0016740,GO0003824,GO0046872,GO0050660,GO0030976,GO0000287,GO0003984
b0078	GO0050790,GO0009082,GO0008652,GO0009097,GO0009099	GO0005829	GO1990610,GO0016740,GO0003984
b0080	GO0009750,GO0006355,GO2000142	GO0005829	GO0003700,GO0000976,GO0003677,GO0000986,GO0042802
b0081	GO0006355,GO2000143,GO0045892	GO0009295,GO0005737,GO0005829	GO0003677,GO0000976,GO0043565,GO0003700
b0082	GO0032259,GO0006364,GO0070475	GO0005829,GO0005737	GO0016740,GO0008168,GO0042803,GO0071424
b0083	GO0051301,GO0007049,GO0043093	GO0016021,GO0016020,GO0032153,GO0005886,GO0005887	GO0005515
b0084	GO0043093,GO0000917,GO0006508,GO0071555,GO0051301,GO0008360,GO0007049,GO0042493,GO0009252	GO0032153,GO0016021,GO0016020,GO0031226,GO0005887,GO0005886	GO0016787,GO0009002,GO0008233,GO0004180,GO0008955,GO0008658,GO0005515
b0085	GO0071555,GO0009058,GO0051301,GO0008360,GO0007049,GO0009252	GO0005737,GO0005829	GO0000287,GO0005515,GO0016881,GO0016874,GO0005524,GO0000166,GO0008765
b0086	GO0071555,GO0009058,GO0051301,GO0008360,GO0007049,GO0009252	GO0005737,GO0005829	GO0016874,GO0005524,GO0000166,GO0008766,GO0047480
b0087	GO0044038,GO0071555,GO0051301,GO0008360,GO0007049,GO0009252	GO0005887,GO0005886,GO0016021,GO0016020	GO0016780,GO0016740,GO0051992,GO0008963
b0088	GO0071555,GO0009058,GO0051301,GO0008360,GO0007049,GO0009252	GO0005737,GO0005829	GO0005515,GO0042802,GO0016874,GO0005524,GO0000166,GO0008764
b0089	GO0043093,GO0071555,GO0015836,GO0051301,GO0008360,GO0007049,GO0009252	GO0032153,GO0016021,GO0016020,GO0005887,GO0005886	GO0016757,GO0016740,GO0008955,GO0015648,GO0005515
b0090	GO0005975,GO0071555,GO0030259,GO0051301,GO0008360,GO0007049,GO0009252	GO0016020,GO0005886	GO0016758,GO0016757,GO0016740,GO0051991,GO0005515,GO0050511
b0091	GO0071555,GO0009058,GO0051301,GO0008360,GO0007049,GO0009252	GO0005737	GO0016874,GO0000166,GO0005515,GO0000287,GO0005524,GO0042803,GO0008763
b0092	GO0071555,GO0008360,GO0009252	GO0005737,GO0005829	GO0016874,GO0000166,GO0046872,GO0005524,GO0042803,GO0008716
b0093	GO0090529,GO0051301,GO0007049,GO0000917,GO0043093	GO0016020,GO0016021,GO0032153,GO0005887,GO0005886	GO0042802,GO0005515
