FC 10	FC 30	Rna_10min	Rna_30min	Rna_37C	bNum
-0.16102494211907928	1.056034034914328	2.71e-05	6.3e-05	3.0299999999999998e-05	b0020
-0.08425848680921583	1.182203331220749	9.81e-05	0.000236	0.00010400000000000001	b0314
1.6027653232409094	2.406226329194022	2.12e-05	3.7e-05	6.98e-06	b0468
2.4256067409890307	2.8821635097061415	1.3699999999999998e-05	1.88e-05	2.55e-06	b4516
1.2418401835646704	1.765534746362977	4.73e-05	6.8e-05	2e-05	b1036
7.088720390793078	8.600433909483597	5.05e-05	0.000144	3.7100000000000003e-07	b1558
3.3923174227787607	5.587822154860397	4.41e-05	0.000202	4.2e-06	b2378
0.03891898929230266	0.7780771295353583	2.6300000000000002e-05	4.39e-05	2.56e-05	b2399
0.09769667388713357	1.4735635758852994	3.3600000000000004e-05	8.72e-05	3.14e-05	b2442
1.6489390900679508	1.463283944132904	8.53e-06	7.5e-06	2.72e-06	b2504
0.5062505247071154	1.2935632036340003	3.21e-05	5.539999999999999e-05	2.26e-05	b2631
2.8927602667736303	3.40392146708467	1.27e-05	1.8100000000000003e-05	1.71e-06	b3444
0.2131738913070692	3.0607303475331857	1.82e-05	0.000131	1.57e-05	b3469
2.42717857046005	3.231824205259668	5.3299999999999995e-05	9.31e-05	9.91e-06	b3557
0.49369444315384214	1.9685674921633427	2.45e-05	6.809999999999999e-05	1.74e-05	b3712
2.0908838032980053	4.3443954350132925	0.00018999999999999998	0.000906	4.46e-05	b4484
5.557556343380504	6.0259432672522815	7.3e-06	1.01e-05	1.55e-07	b4487
1.7582342109198574	2.52996522324674	2.05e-05	3.5e-05	6.06e-06	b4109
2.616606155366524	4.166922513280789	0.000295	0.0008640000000000001	4.8100000000000004e-05	b4178
2.736965594166206	3.2368114812494118	1.28e-05	1.8100000000000003e-05	1.92e-06	b0022
2.7440550189525257	3.3845126322653853	1.36e-05	2.12e-05	2.03e-06	b0265
2.7440550189525257	3.3845126322653853	1.36e-05	2.12e-05	2.03e-06	b0275
0.4438845649270581	1.804652401677781	6.23e-05	0.00016	4.5799999999999995e-05	b0459
0.5167392013237142	1.6112157403826193	8.57e-05	0.000183	5.99e-05	b0461
1.6095862876899787	2.8160371651574048	0.00013000000000000002	0.0003	4.26e-05	b0815
5.415231814726762	6.554059519424079	2.97e-05	6.54e-05	6.96e-07	b0989
0.3959286763311393	1.4842845507519864	4.7499999999999996e-05	0.000101	3.6099999999999997e-05	b1191
0.4573915121824811	1.6483342948938762	5.3e-05	0.000121	3.86e-05	b1847
2.736965594166206	3.2368114812494118	1.28e-05	1.8100000000000003e-05	1.92e-06	b1894
-0.6033410300360109	3.8636373976546348	3.12e-05	0.0006900000000000001	4.74e-05	b2126
1.2722286257631497	3.045087889528538	0.0009130000000000001	0.00312	0.00037799999999999997	b3461
-0.0696809090012054	1.4699576012104605	4.85e-05	0.00014099999999999998	5.0900000000000004e-05	b3546
0.9827220085681645	2.3890422907458992	4.15e-05	0.00011	2.1e-05	b3893
1.191729371760661	2.957264118123638	4.5e-05	0.000153	1.9699999999999998e-05	b0065
0.1823767424885692	1.5678077796820893	0.00016	0.00041799999999999997	0.00014099999999999998	b0161
3.154785534116377	3.596674253044652	6.92e-06	9.4e-06	7.77e-07	b0499
34.879205507276005	34.42717380051496	3.16e-06	2.31e-06	1e-16	b0500
0.42488528523519103	1.6207470758611298	0.000196	0.000449	0.000146	b0797
3.0510741845942695	4.161026474090522	0.000644	0.00139	7.77e-05	b0990
2.2316539911940185	3.029264594505195	5.73e-05	9.96e-05	1.22e-05	b0991
35.043030309181894	37.210235809270614	3.54e-06	1.59e-05	1e-16	b1164
-0.6534624377686362	-0.9731047729369398	4.73e-06	3.79e-06	7.44e-06	b1165
33.85154916437314	34.10680621961521	1.55e-06	1.85e-06	1e-16	b1167
-1.5166425421172223	-0.650354486704783	2.09e-05	3.81e-05	5.98e-05	b1299
2.807354922057604	2.897552731029182	2.17e-06	2.31e-06	3.1e-07	b1586
1.8421478308582626	1.8645156438867172	1.28e-05	1.3000000000000001e-05	3.57e-06	b2106
36.09309414723271	35.56410944587106	7.33e-06	5.08e-06	1e-16	b2419
-0.18164607899313862	1.5032578596019242	3.9500000000000005e-05	0.000127	4.48e-05	b2677
0.9597361297862728	2.3942070039799783	2.12e-05	5.73e-05	1.09e-05	b2678
2.0735617388424044	2.0483244473433815	3.46e-05	3.4e-05	8.22e-06	b3096
-2.1723155488673065	-1.8985547364404542	1.34e-06	1.62e-06	6.04e-06	b3446
1.7596410321341032	2.278426456250776	0.0034200000000000003	0.0049	0.00101	b3556
1.0403794615158393	2.0419101725781528	0.000471	0.0009429999999999999	0.000229	b4043
1.8759420073150166	3.016119665363277	9.8e-05	0.00021600000000000002	2.6700000000000002e-05	b4148
0.6910229768202101	2.758339244958773	0.0006490000000000001	0.0027199999999999998	0.00040199999999999996	b4179
0.13575374179997549	0.922958964236172	4.1200000000000005e-05	7.11e-05	3.75e-05	b0311
0.9760452678482773	1.2816316247111241	6.57e-05	8.120000000000001e-05	3.34e-05	b0460
2.525665317037384	3.6786769355433497	4.29e-05	9.54e-05	7.45e-06	b0958
0.5015875312352781	1.4608411888919686	3.9500000000000005e-05	7.68e-05	2.7899999999999997e-05	b1061
1.7274553748837334	2.8108713830713707	2.52e-05	5.3400000000000004e-05	7.61e-06	b1113
0.38311816540409194	0.6295160497513292	5.96e-05	7.070000000000001e-05	4.57e-05	b1216
32.45806780846074	34.336975991543376	5.9e-07	2.17e-06	1e-16	b1481
2.453680852020129	5.710119865319231	3.38e-06	3.229999999999999e-05	6.17e-07	b1551
4.28771237954945	6.582455645110581	3.75e-05	0.000184	1.92e-06	b1552
2.918992362537526	4.350292986140724	0.00041900000000000005	0.0011300000000000001	5.539999999999999e-05	b1557
0.2700891633677445	2.568365990190461	1.23e-05	6.05e-05	1.0199999999999999e-05	b1599
