geneID	logExprRatio	p_value
b0463	-0.6647454347589391	0.0443
b4117	0.6454249887072632	0.0083
b0474	-0.7836382650288727	0.0178
b2000	0.5476472422587906	0.0017
b0049	1.1259816538547154	0.003
b0978	0.6892991605358918	0.0146
b0469	-1.5521563556379145	0.0071
b2923	-0.7379277116015897	0.0187
b3237	-0.31634845518751536	0.0265
b0908	-0.8383057645638685	0.0075
b1704	-1.3360633936448298	0.0044
b3390	-0.4483117305610369	0.017
b0388	-0.965220841951981	0.0004
b3501	0.6615671995271457	0.0001
b0862	1.2406806815553055	0.0195
b3433	-1.1616532634787693	0.0376
b3743	1.129414914462053	0.0338
b0928	-0.46494240510515766	0.0228
b1866	0.8332544384602564	0.0499
b1746	0.46058531325366775	0.0106
b1744	0.6531517595001242	0.0411
b2222	0.7893536636509365	0.0293
b3731	0.5650121808982247	0.027999999999999997
b3739	-0.9170249727422318	0.0433
b0165	-0.8841677013474352	0.0021
b0373	-0.9584766378156496	0.0463
b0501	0.24719838857586485	0.0303
b1354	0.34346467615452897	0.0397
b1402	-1.1068708139827879	0.0317
b1500	-0.6773795776383154	0.0088
b1578	-1.1265804965651431	0.0067
b2651	0.5313689830998398	0.0116
b3007	-0.6018685681233664	0.0484
b3044	-1.1253210507925446	0.0042
b4112	0.4675925087129493	0.0283
b2480	-0.9694520358370333	0.0453
b3530	-0.488026018218199	0.0351
b0313	-0.9192059180417576	0.0174
b3722	0.4607949768263212	0.0041
b3720	0.963843998362475	0.0053
b0035	0.7413159674275117	0.0488
b0033	-1.0883467626914678	0.0049
b2200	-0.1865574009489263	0.043
b2143	0.7676547982373464	0.0128
b1884	0.5940707568515381	0.0383
b1887	0.6102275895446929	0.0097
b1882	0.6540688627290809	0.005
b3338	0.8194229453666945	0.0006
b0618	0.6660293812130447	0.036000000000000004
b0155	-0.9015804422344554	0.02
b2592	1.8812338997945635	0.027999999999999997
b0842	-1.6684094241337628	0.0056
b0103	-1.3000930676251239	0.0235
b1992	-0.3947901559188581	0.0094
b0337	-1.8598757760909292	0.0046
b0336	-2.5985879746361915	0.0003
b3816	-1.8262329322632935	0.0025
b3032	-0.9353930247026081	0.0466
b4398	-1.5546970578634869	0.0081
b0240	-1.5799218840206262	0.0017
b2417	0.35264554528092595	0.0161
b1038	-0.8908400610388894	0.0369
b1557	-2.139871485877112	0.0473
b1558	-2.221623189091677	0.0418
b0990	-3.710283551513701	0.0004
b0598	-0.7951080751627659	0.034
b0572	0.677981733854701	0.0057
b1418	-1.2761356763732723	0.0035
b0338	0.5349580265838958	0.0241
b2422	0.5070080777531	0.0004
b3368	0.6265793107820099	0.0416
b2421	-0.9534390942422588	0.0458
b2425	-0.6194921806605541	0.0424
b0526	-0.7391312613843206	0.0153
b3934	-0.9671938549167586	0.0315
b2478	-1.428565884123491	0.0309
b3809	-0.9677580688625061	0.0165
b1488	0.8370551562730241	0.0151
b3162	-1.2584251525812045	0.0153
b3235	-1.243318260190996	0.0416
b4382	1.1668439644124908	0.0294
b4381	1.5758931647720007	0.0289
b4384	0.6563590734536828	0.0146
b4042	-0.3766949717524638	0.0459
b4052	-2.5294891648227247	0.001
b0015	1.3008265925334934	0.0141
b0014	1.4992208495448276	0.0266
b0619	-0.6190489563741528	0.0237
b2893	-1.0147910526824464	0.0056
b4049	-1.3008037548517561	0.0115
b3260	-0.30009306762512383	0.0209
b2140	-0.8873665830147547	0.0092
b2969	-0.39081239512957483	0.0191
b0140	1.19503256501146	0.0056
b1851	0.3073119390641877	0.0468
b2268	-0.8799135293274745	0.0212
b2945	0.2758414231406114	0.0482
b2779	0.6365434213518011	0.0318
b0593	0.5294711598762631	0.0295
b0591	-1.1700692781603574	0.0291
b2566	-1.2536012334528568	0.0021
b2458	0.8256228318156806	0.0307
b2456	0.2926639733968578	0.0189
b2369	1.5158638074184894	0.044000000000000004
b3006	-1.0706634659931111	0.0222
b3094	-0.9643760902692787	0.0127
b2323	-0.6583557594698397	0.0043
b3845	0.7776196010721328	0.0296
b2925	0.7039866038634306	0.0164
b3891	-0.8401125212694995	0.0161
b1474	0.40588347292225563	0.0138
b1476	0.3658044998719817	0.0205
b2525	0.7859271307337805	0.0044
b4291	0.6423781131483992	0.0011
b4290	0.42395459401489677	0.0287
b4287	0.7170347779973112	0.031
b2610	0.34471489449012716	0.0362
b0150	-1.451267468208081	0.027999999999999997
b1102	0.27178421356921684	0.0239
b3261	-0.5418280104074104	0.0371
b0042	0.5333639983398146	0.0371
b0028	-0.7360041179287609	0.025
b0684	0.5101517577842993	0.0442
b1072	2.2920160344066964	0.0024
b1073	1.926758531986465	0.0007
b1074	1.5864525158880871	0.006999999999999999
b1075	1.1933301953843043	0.0061
b1076	1.0179931504377544	0.0033
b1077	1.9629191345312698	0.0053
b1078	2.2533237187992525	0.0097
b1079	2.060462487986107	0.0007
b1080	1.6733755104478814	0.0062
b1081	1.4019580664137732	0.0051
b1071	1.7126397979308516	0.0167
b1892	-1.4367442285670111	0.0068
b1942	1.8104842349777595	0.0196
b1920	0.5359534005994318	0.0446
b0048	-2.0303245368567975	0.0312
b0529	-0.6663472852345864	0.0126
b2153	-0.35993441746710725	0.0323
b3844	0.7605190371529962	0.0218
b3374	0.48511764510507527	0.0269
b0356	0.5075155864792287	0.0269
b0239	-1.5245000127350492	0.0375
b2167	0.9562053761938747	0.0169
b2169	1.619741658769175	0.0052
b2168	1.4878464636473454	0.0036
b3900	0.690282989063512	0.0067
b0083	-0.5435092284166205	0.0288
b3464	0.41586681052321495	0.0141
b0095	0.34175808507872124	0.0362
b4122	0.6510402069935914	0.0144
b4140	0.847435749362521	0.0107
b2662	0.4790235599805144	0.021
b0756	-1.1788612625092965	0.0141
b1236	-0.11325477525789118	0.0435
b1779	0.6113612639197512	0.0455
b1417	-1.6407037411078027	0.0054
b1416	-1.392894616241506	0.0072
b2094	0.8937505017205659	0.0319
b2808	-0.6197138438769214	0.0371
b2904	-1.6492764655589778	0.0137
b2479	-2.159073566696852	0.0056
b2905	-1.5769059458500978	0.0343
b3741	0.8847932625435265	0.0137
b3740	0.547252389012155	0.0164
b3049	0.5014136668757809	0.0496
b3729	-1.1939647167637806	0.0445
b3730	-2.2961905334737542	0.0015
b0167	0.5882289089481046	0.0024
b0811	1.7644735509926666	0.0027
b3869	-0.5640514351394661	0.0331
b0810	1.371781870695398	0.0108
b0809	1.5022796761775785	0.028999999999999998
b3426	-0.7585258742985586	0.0107
b3424	-1.1115392304419596	0.0143
b0654	0.7131679030093698	0.0293
b3653	-1.2155797753822157	0.0171
