bnumber	p-value	nov20_1	nov50_1	nov200_1
b0001	1	-2.322	-3.059	-2.092947
b0002	0.003125	-0.8365	-0.9434	-1.786
b0003	0.999375	-0.2863	-0.3771	-0.7612
b0004	1	-0.1844	-0.2345	-0.6215
b0005	1	0.7312	1.316	1.077
b0006	1	1.263	1.836	1.22
b0007	0.671375	1.036	1.269	1.287
b0008	1	1.501	1.536	1.401
b0009	0.780875	0.7137	1.124	1.064
b0010	0.606875	1.299	2.566	1.422
b0011	0.021375	0.696	1.118	1.551
b0012	0.0355	1.257	1.433	1.257
b0013	1	1.373	1.227	0.189
b0014	1	3.108	2.939	3.234
b0015	1	2.685	2.662	2.425
b0016	1	3.242	0.9928	2.173
b0017	1	-0.04394	-0.2176	-0.1203
b0018	1	1.888	1.339	1.48
b0019	0.000875	1.604	1.57	0.7398
b0020	1	0.5753	0.2141	-0.8625
b0021	0.000875	-0.454	-0.7131	-0.7612
b0022	0.332125	-0.5564	-0.889	-0.8625
b0024	1	-1.644	-0.9714	-0.7612
b0025	0.000125	-1.943	-1.737	-3.322
b0026	0.000125	-1.184	-1.69	-1.786
b0027	0.002	-1.322	-1.322	-1.515
b0028	0.974875	-1	-1.889	-2.474
b0030	1	-1.286	-1.12	-2.396
b0031	0.893	-1.515	-1.358	-1.322
b0032	1	-5.644	-2.644	-2.322
b0033	1	-1.837	-1.184	-1.434
b0034	1	-1.396	-1.396	-1.474
b0035	0.001125	-0.0145	0.02857	0.4751
b0036	0.389375	-0.158502	-0.1844	-0.9714
b0037	0.996625	-0.08927	0.02857	-1.218
b0038	1	-0.2515	0.1243	-1.786
b0039	1	-0.2009	-0.1681	-1.152
b0040	0.094875	0.02857	-0.1047	-0.4941
b0041	0.000125	1.609	2.157	1.989
b0042	0.001875	1.31	1.064	1.057
b0043	0.01625	1.131	1.651	1.88
b0044	0.966625	0.5945	0.2141	0.696
b0045	1	1.029	0.9336	-0.6666
b0046	1	-0.730656	-1.286	-1.209812
b0047	1	-0.3585	-0.8365	-1
b0048	0.9	-0.3959	-1.286	-1.396
b0049	1	-0.02915	0.02857	-0.4344
b0050	1	0.5753	0.6508	0.4222
b0051	1	0.7655	0.6781	0.4647
b0052	1	0.8156	0.4114	0.4957
b0053	0.455875	0.696	0.585	0.275
b0054	0.999875	0.9709	0.433	0.1375
b0055	0.999375	0.1243	-0.2515	-0.3585
b0056	1	0	-0.5146	-1.218
b0057	1	0.5361	0.3219	0.3103
b0058	0.356125	0.8319	0.9855	0.7655
b0059	0.403875	2.189	2.655	2.791
b0060	1	1.623	1.778	1.816
b0061	0.9645	0.9782	1.696	2.519
b0062	1	-0.811	-1.029	0.2016
b0063	1	-0.02915	0.05658	-0.8365
b0064	1	0.2265	-0.2515	-0.2345
b0066	0.000625	0.5945	1.144	1.459
b0067	0.150375	0.6508	0.1243	0.5656
b0068	0.018625	0.9635	1.526	1.465
b0069	0.73725	1.227	1.872	1.561
b0070	1	0.669	0.8074	0.6135
b0071	0.025	0.4114	0.1763	0.189
b0072	1	-0.2345	-0.415	-0.3585
b0073	0.939875	-0.04394	-0.3771	0.1375
b0074	1	-0.8365	-1.286	-1.059
b0075	1	-3.184	-0.883852	-1.278916
b0076	1	-1.474	-1.35231	-1.737
b0078	1	-0.3771	0.107291	0.1375
b0079	1	-0.389492	-0.811	-0.3401
b0080	1	-0.7859	-0.4739	-1.12
b0081	0.999875	0.3561	0	-0.2515
b0082	1	0.05658	0.07039	0.189
b0083	1	-0.08927	-0.1681	0.2141
b0084	0.986	0.1243	0.111	0.2265
b0085	0.04775	0.275	0.02857	0.189
b0086	0.71525	0.2987	0.1243	0.1763
b0088	1	0.3674	0.1506	0.2141
b0090	0.994875	0.757	0.6871	1.151
b0091	1	0.8953	0.8156	1.176
b0092	1	1.091	1.233	1.511
b0093	1	1.014	0.9928	1.373
b0094	1	0.9336	1.144	1.718
b0095	1	0.8953	0.9486	1.428
b0096	0.9795	1.362	1.803	1.836
b0097	1	0.546	0.585	0.4751
b0099	1	0.2265	0.08406	-0.7131
b0100	1	-0.454	-0.1681	-0.3959
b0101	1	-0.3585	-1.943	-0.6897
b0102	0.11275	-0.4941	-1.089	-1.12
b0103	0.000125	-0.1681	-1.322	-2.059
b0104	1	0.01436	-0.1681	-0.2009
b0105	1	-0.2515	0.00754	-0.239674
b0106	1	-1.69	-1.80426	-4.644
b0108	1	-0.36425	-0.302113	-0.842035
b0109	0.074	-0.8365	-1.434	-1.69
b0110	0.95725	-0.5995	-1.322	-0.889
b0111	1	-0.4941	-0.9159	-0.3585
b0112	1	-0.8625	-1.218	-1.474
b0113	1	-0.9159	-1.515	-1.644
b0114	1	0.7049	0.6229	0.433
b0116	1	1.233	1.293	1.176
b0117	1	-2.12	-2.837	-2.152251
b0118	0.037125	-0.454	-0.5564	-0.4941
b0119	0.000125	-0.4739	-0.3771	-1.184
b0120	1	0.6415	0.3103	0.4854
b0121	1	0.6135	0.4751	0.4957
b0122	0.766875	-2	-1.737	-5.059
b0123	1	-0.454	-0.6215	-0.5995
b0125	1	-0.1203	-0.152	-0.5146
b0126	0.000125	-0.3771	-0.8625	-1.059
b0127	1	-0.04394	-0.02915	-0.4344
b0128	1	-0.304	0.1635	-0.4344
b0129	1	-1.059	-1.152	-3.474
b0130	1	-0.415	-0.3959	-2.272829
b0131	0.01375	-0.9159	-1.474	-1.515
b0132	0.105625	-1.474	-1.059	-1.286
b0133	0.000125	-0.4941	-0.7131	-0.7612
b0134	0.0005	0.04264	-0.6897	-0.737
b0135	0.930625	0.189	0.09761	-0.0145
b0136	0.7715	0.3561	0.2869	0.3561
b0137	1	0.6229	0.6135	0.6229
b0138	0.2675	0.7049	0.6781	0.516
b0139	0.012	0.8237	0.856	0.84
b0140	0.99975	-0.1047	-0.4941	-0.2515
b0141	1	0.7655	0.774	0.4751
b0142	1	0.05658	0.3896	-0.2863
b0143	0.934	0.3785	-0.2345	-0.152
b0144	1	0.07039	-0.2688	-0.737
b0145	1	0.8074	0.669	0.6871
b0146	1	0.9486	0.3896	0.585
b0147	0.621375	-1.644	-1.396	-1.889
b0150	0.493	-0.6439	-1.029	-1.434
b0151	1	-1.12	-1.358	-3.474
b0153	1	0.6599	0.7049	0.4854
b0154	1	0.9855	0.848	0.8237
b0155	1	0.09761	0.3219	-0.3959
b0156	1	0.263	0.1375	0.05658
b0157	1	0.516	0.696	0.09761
b0158	0.88025	0.669	0.84	0.757
b0160	1	-0.2688	-0.5995	-0.4344
b0161	1	1.104	0.926	1.239
b0162	1	0.263	0.774	1.651
b0163	1	0.585	1.162403	0.4854
b0164	1	-0.1361	0.111	0.4114
b0165	1	-0.5353	-1.286	0.6599
b0166	1	0.1243	-0.1681	-0.1047
b0167	1	0.8639	0.4854	0.251
