Table S2. List of all genes in all conditions logFC and log2 expression values  																																	
Gene locus	ctrl_0hr_1975_log2	ctrl_0hr_1976_log2	ctrl_0hr_1977_log2	ctrl_0hr_1978_log2	ctrl_1hr_1979_log2	ctrl_1hr_1980_log2	ctrl_1hr_1981_log2	treated_1hr_1982_log2	treated_1hr_1983_log2	treated_1hr_1984_log2	ctrl_2hr_1985_log2	ctrl_2hr_1986_log2	ctrl_2hr_1987_log2	treated_2hr_1988_log2	treated_2hr_1989_log2	treated_2hr_1990_log2	ctrl_4hr_1991_log2	ctrl_4hr_1992_log2	ctrl_4hr_1993_log2	treated_4hr_1994_log2	treated_4hr_1995_log2	treated_4hr_1996_log2	ctrl_6hr_1997_log2	treated_6hr_2000_log2	avg_ctrl_0hr_log2	avg_ctrl_1hr_log2	avg_treated_1hr_log2	avg_ctrl_2hr_log2	avg_treated_2hr_log2	avg_ctrl_4hr_log2	avg_treated_4hr_log2	avg_ctrl_6hr_log2	avg_treated_6hr_log2
SMc00924	11.9053834667611	12.3159787982472	12.2680709889893	12.1756999761359	12.5223874661002	11.397406171035	11.5864753980426	10.7188995191488	10.1627388870783	11.395834775964	12.5311122319955	11.7731679129471	10.198766244966	9.44971882387821	10.0558558191807	9.77099564482764	11.8620405436085	11.7258933885477	11.7290616202979	8.23952925742363	8.31245105513937	8.2886134910365	11.6494625269522	8.41553036327325	12.1662833075334	11.8354230117259	10.759157727397	11.5010154633029	9.75885676262886	11.772331850818	8.28019793453317	11.6494625269522	8.41553036327325
SMc03037	15.0588499639131	13.4514764568779	13.5916720726198	14.3908957526366	14.8737295488627	14.1062217329552	14.4700213640184	13.7533132399435	13.7282669931243	14.0233985987319	14.2483964879755	14.5239128861938	14.3891088308934	11.8282560477135	12.5008937922315	12.9673371106493	14.7805411833624	14.4366651350877	14.2882754334516	11.2157110068236	10.9940283116046	10.8473657114232	15.6050806773784	10.1954508531355	14.1232235615118	14.4833242152787	13.8349929439332	14.3871394016876	12.4321623168647	14.5018272506339	11.0190350099505	15.6050806773784	10.1954508531355
SMc00059	12.0598520121148	12.172503896796	12.7318275342244	12.2998990580829	13.7036548932198	13.856375827357	13.7874708276448	13.3881662462332	13.6126684553402	11.9892036845967	13.1989249677915	12.9045091747141	11.6626510811594	12.9244218598424	12.9502079857982	11.973949413256	14.2562732618018	13.7727863498807	13.8082172119757	10.5986051772371	10.6195882714316	10.640332242174	14.1092205833742	10.0908944791501	12.3160206253045	13.7825005160738	12.9966794620567	12.588695074555	12.6161930862989	13.9457589412194	10.6195085636142	14.1092205833742	10.0908944791501
SMc00975	11.442553680122	10.1127793240697	10.3820869725178	9.41077905668233	10.9648139704065	10.5134945520834	10.5341539330413	11.2749117604026	10.058745245342	11.6751264864294	8.66063431618166	9.93092105819426	9.84235724237717	9.85877722542069	10.5306214626939	10.0982542567806	12.592752003783	12.1618837632986	12.2422527043254	9.43077031690184	9.03992666471603	9.06277045476619	12.9287475555356	8.42895651655955	10.337049758348	10.6708208185104	11.0029278307247	9.47797087225103	10.1625509816317	12.3322961571357	9.17782247879469	12.9287475555356	8.42895651655955
SMc03038	15.6422528347367	14.851660279899	15.0986867424445	14.8061242927283	15.2459103245178	15.0337846252016	15.1251676266957	15.1447363798256	14.8031443266534	14.6642816615746	15.1849794805425	14.8714322249225	15.0558220026228	13.5558226256543	14.2699291745204	13.6783479065553	15.1725491282324	14.9567455873372	14.8240334880809	12.0265148655379	11.8729671529824	11.7496551933765	15.3065045576461	11.3234246788751	15.0996810374521	15.1349541921383	14.8707207893512	15.0374112360293	13.8346999022433	14.9844427345502	11.8830457372989	15.3065045576461	11.3234246788751
SM_b21091	12.0528572400346	11.6341598086059	11.7943496376685	11.5903662131488	12.951266053279	12.3513686027302	13.2763836058061	12.4522609602081	12.1143326992512	11.9509780308683	12.5121061918338	12.8636850673242	13.6327543935882	11.1684302397344	11.9991314548206	11.1066393205827	12.947358115878	12.8826369830467	12.6210526073171	9.81644586431326	9.95035421614785	9.50027030926984	12.952461011211	9.04721658814895	11.7679332248644	12.8596727539384	12.1725238967759	13.0028485509154	11.4247336717126	12.8170159020806	9.75569012991032	12.952461011211	9.04721658814895
SMc04059	13.0253742243921	12.7700451690771	13.0795071299832	13.2596488237708	13.3529248124317	13.3313979445984	13.0028942875822	10.633091068358	10.912654695706	10.7674354498256	13.1170750036643	13.4989224633316	12.1020513228423	10.3180238386847	10.0884105706661	9.56083212147798	12.7276203061228	12.0508773508477	12.3026357492784	9.5130616291936	9.29113015834781	9.30991675872631	12.1799971550612	9.49572382754358	13.0336438368058	13.2290723482041	10.7710604046299	12.9060162632794	9.98908884360959	12.360377802083	9.37136951542257	12.1799971550612	9.49572382754358
SMc00657	14.9005322408236	14.4542361429252	15.2708590104098	14.3702831168316	15.6730257713062	15.3096969012844	15.3645512767088	15.0703993147981	15.2374458970285	14.8102839783115	15.3506314677926	15.5302441760089	15.5967985983087	14.8569099249558	14.6297044495261	14.5568802595678	15.6422501944755	15.2816662663831	15.3657667944068	12.6225683063504	12.5302504582815	12.5464184738054	15.0112995182176	12.0713486179896	14.7489776277475	15.4490913164331	15.0393763967127	15.4925580807034	14.6811648780165	15.4298944184218	12.5664124128124	15.0112995182176	12.0713486179896
SMc00888	12.869321606989	11.6580381938195	12.6344310623031	12.173024747487	12.9037811946654	12.7488643907403	12.4926940669328	12.4038376855914	11.8630271532008	10.9889699352914	12.5963207867781	11.9598726826674	13.0189577598413	11.5181581727052	11.612588091069	11.7061907539924	13.0407969580165	12.370508233123	12.3394833448321	10.1732687412777	9.63396965635846	9.57264588763367	13.0255099108441	9.65206934017009	12.3337039026497	12.7151132174462	11.7519449246946	12.5250504097623	11.6123123392555	12.5835961786572	9.7932947617566	13.0255099108441	9.65206934017009
SM_b20651	13.0665078733182	12.3279136520031	12.4843261492224	13.0581040027812	12.890735941111	12.4532303898602	13.1436742650231	10.8331039379021	11.4595857326423	12.0390173348217	12.4866549079119	12.7184223532402	13.3247443955891	10.9716939171	11.1756980901202	10.8585267812466	12.6040983735152	12.0631553664605	12.5517626987204	9.56595042039238	9.50822310341558	9.79895849028567	12.5665906681792	9.49305577326435	12.7342129193312	12.8292135319981	11.443902335122	12.8432738855804	11.0019729294889	12.4063388128987	9.62437733803121	12.5665906681792	9.49305577326435
SMc04117	12.3073645374549	11.4328108473638	11.1184479003316	11.3083038621439	12.9252617123394	12.4067999391813	12.4687518214307	11.0000800844538	11.5666863826454	11.1138022125737	12.7214264722971	11.6901051909492	11.7761392701874	10.4997703443603	11.119864892547	10.9283339682313	12.6431330674164	12.3215193593476	12.3815940802985	9.76848775876593	9.67583970716396	9.75340014007434	12.4168203382291	9.22477202780576	11.5417317868235	12.6002711576505	11.2268562265576	12.0625569778112	10.8493230683795	12.4487488356875	9.73257586866808	12.4168203382291	9.22477202780576
SMc04114	14.667640907398	15.3983499557812	14.7934803027828	14.8011379134289	15.914849896118	14.1567381635435	15.4597012510646	14.5733917571133	14.8600959726708	13.7678121383919	15.6702242151373	14.3912834218541	15.8213683280988	14.291637177715	13.8708548705669	13.4486807721837	15.7019940178345	15.6007121973992	15.4877620753816	12.9685883933485	12.7847201456129	12.9651281714395	15.0757002936638	11.8512703979803	14.9151522698477	15.1770964369087	14.400433289392	15.2942919883634	13.8703909401552	15.5968227635384	12.9061455701337	15.0757002936638	11.8512703979803
SM_b20650	11.4857711445878	10.7385997209727	11.5672488528906	11.1176485292463	11.0591979890268	11.0350162040347	11.3539768809398	9.80444500525559	9.27782050648749	9.72471721802265	9.82679461988185	11.7072349623172	11.700091929971	9.03178278987733	9.61766266859105	9.51701436695523	11.2870589909081	11.1450915191535	11.0376186271991	8.52669098320952	8.56256067329798	8.33720793106773	11.6645645848307	8.8148972527301	11.2273170619244	11.1493970246671	9.60232757658858	11.0780405040567	9.38881994180787	11.1565897124202	8.47548652919174	11.6645645848307	8.8148972527301
SMc03014	11.3779278301713	12.4621116167211	11.9238303074897	13.0135083754332	13.1925668261385	12.2084612423218	12.709020771529	11.1003553903897	11.2783398701201	11.5567238433605	12.4010453511022	11.1260806952145	12.4725904112475	11.0683472704522	10.1339235061295	11.0805894472261	12.8196423830983	12.7637813792224	12.7741817637591	9.92861639352325	9.88936532150761	10.6020164505773	13.2701121922397	9.3086665442264	12.1943445324538	12.7033496133298	11.3118063679568	11.9999054858547	10.7609534079359	12.7858685086933	10.1399993885361	13.2701121922397	9.3086665442264
SMc01357	11.2969682498394	14.329661572375	11.7658473029365	13.6697999142209	13.2596020350631	12.4416170935979	11.4211676661134	10.3210597811594	12.3600643912137	11.587261331609	14.1401263615109	12.3032846234701	12.7635524009709	11.9747105905737	11.9248509329183	11.2898239731652	14.1687935892365	13.5387771075765	13.9347294545755	11.3163467636407	11.107064606953	11.3355756954493	13.1040131849642	10.7555979356372	12.765569259843	12.3741289315915	11.422795167994	13.0689877953173	11.7297951655524	13.8807667171295	11.252995688681	13.1040131849642	10.7555979356372
SMc00003	11.4908952848956	11.7643610253391	11.7640955745937	12.1179594078485	12.4512909017315	12.9544050048332	12.6440442184082	11.4859118295005	11.6327611913598	12.2757145582836	12.8077633386489	12.4517091465687	12.6511183397686	11.0045866168386	11.3196755712387	10.8602561451065	12.4431595661729	12.1998668922396	12.0953734376668	9.5375569391122	9.67608776544435	9.68444496182871	12.4790006399881	9.15690496307419	11.7843278231692	12.6832467083243	11.798129193048	12.6368636083287	11.0615061110613	12.2461332986931	9.63269655546175	12.4790006399881	9.15690496307419
SM_b21092	11.783691410612	11.3219615710797	12.032553339525	11.4674507923276	12.8172744926443	12.5924630266321	12.7368012937234	12.3704610281912	12.1702746104598	12.0400120368008	12.3187199007	12.5772969288479	13.2756780198659	11.3898751142078	11.7763066163338	11.0001942200228	12.4704839116143	12.2486854655484	12.1261450684955	9.70362538866111	9.77593663335953	9.55142465144038	12.3710869516951	8.97432407370261	11.6514142783861	12.7155129376666	12.1935825584839	12.7238982831379	11.3887919835215	12.2817714818861	9.67699555782034	12.3710869516951	8.97432407370261
SM_b20652	9.86161114842696	8.72616902809223	10.1390045043458	10.3870247561676	9.68941875489438	10.533515263791	10.9060098778493	9.00690235885255	8.80899743150774	9.12358267120694	10.372419792326	9.74313002368799	11.2008579686728	8.7421184901461	8.58906105088093	8.48205957014023	10.8656226029002	10.2723255941429	10.4104114095658	7.98048306682622	7.99890956541079	7.81642455857462	10.6369397054301	8.43693249751218	9.77845235925815	10.3763146321782	8.97982748718908	10.4388025948956	8.60441303705575	10.5161198688696	7.93193906360388	10.6369397054301	8.43693249751218
SMc03174	12.9099800687409	12.022780765147	11.6417458662349	12.9868299084256	14.631910677786	14.2727939409547	14.0119310203786	13.4388030484345	13.9968687537042	14.400552484777	14.420079265319	12.5563547322864	14.4945355786731	13.3844755039663	13.0936440683948	13.1699657159572	13.6751330562122	13.3029630618607	13.6556012573712	10.7817535982298	10.9791476751288	11.1682732927629	13.1992166633264	9.91986510294524	12.3903341521371	14.3055452130398	13.9454080956386	13.8236565254261	13.2160284294395	13.5445657918147	10.9763915220405	13.1992166633264	9.91986510294524
