Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
nhaR	b0020	3.03E-05	2.71E-05	6.30E-05	1.16E-04	1.38E-04	1.22E-04	9.55E-05	YES	1					
betT	b0314	1.04E-04	9.81E-05	2.36E-04	1.12E-03	1.16E-03	9.26E-04	4.43E-04	YES	1					
ybaN	b0468	6.98E-06	2.12E-05	3.70E-05	7.94E-05	1.34E-04	8.64E-05	7.36E-05	YES	1					
insA	b4516	2.55E-06	1.37E-05	1.88E-05	4.22E-05	5.38E-05	3.91E-05	2.13E-05	YES	1					
ycdZ	b1036	2.00E-05	4.73E-05	6.80E-05	9.51E-05	9.72E-05	1.04E-04	1.25E-04	YES	1					
cspF	b1558	3.71E-07	5.05E-05	1.44E-04	2.22E-04	1.62E-04	1.09E-04	1.35E-04	YES	1					
lpxP	b2378	4.20E-06	4.41E-05	2.02E-04	1.14E-03	1.27E-03	1.45E-03	8.81E-04	YES	1					
yfeD	b2399	2.56E-05	2.63E-05	4.39E-05	1.13E-04	8.10E-05	1.18E-04	6.53E-05	YES	1					
intZ	b2442	3.14E-05	3.36E-05	8.72E-05	2.64E-04	4.16E-04	3.02E-04	1.23E-04	YES	1					
yfgG	b2504	2.72E-06	8.53E-06	7.50E-06	1.91E-05	2.95E-05	3.03E-05	1.59E-05	YES	1					
yfjO	b2631	2.26E-05	3.21E-05	5.54E-05	1.73E-04	1.80E-04	2.03E-04	1.43E-04	YES	1					
insA	b3444	1.71E-06	1.27E-05	1.81E-05	3.58E-05	4.59E-05	3.50E-05	2.09E-05	YES	1					
zntA	b3469	1.57E-05	1.82E-05	1.31E-04	7.27E-04	8.36E-04	6.35E-04	2.40E-04	YES	1					
insJ	b3557	9.91E-06	5.33E-05	9.31E-05	1.81E-04	1.95E-04	1.42E-04	3.48E-05	YES	1					
yieE	b3712	1.74E-05	2.45E-05	6.81E-05	2.72E-04	3.92E-04	2.68E-04	2.99E-04	YES	1					
cpxP	b4484	4.46E-05	1.90E-04	9.06E-04	2.94E-03	3.15E-03	2.46E-03	7.63E-04	YES	1					
yjdP	b4487	1.55E-07	7.30E-06	1.01E-05	1.04E-04	1.68E-04	1.42E-04	8.36E-05	YES	1					
yjdA	b4109	6.06E-06	2.05E-05	3.50E-05	2.05E-04	2.62E-04	1.96E-04	1.16E-04	YES	1					
nsrR	b4178	4.81E-05	2.95E-04	8.64E-04	3.03E-03	3.38E-03	3.54E-03	1.08E-03	YES	1					
insA	b0022	1.92E-06	1.28E-05	1.81E-05	3.58E-05	4.57E-05	3.50E-05	2.09E-05	YES	1					
insA	b0265	2.03E-06	1.36E-05	2.12E-05	4.74E-05	5.58E-05	4.22E-05	2.22E-05	YES	1					
insA	b0275	2.03E-06	1.36E-05	2.12E-05	4.74E-05	5.58E-05	4.22E-05	2.22E-05	YES	1					
maa	b0459	4.58E-05	6.23E-05	1.60E-04	9.33E-04	9.73E-04	8.14E-04	3.36E-04	YES	1					
ybaJ	b0461	5.99E-05	8.57E-05	1.83E-04	1.03E-03	1.22E-03	1.58E-03	7.75E-04	YES	1					
ybiP	b0815	4.26E-05	1.30E-04	3.00E-04	1.29E-03	1.56E-03	1.16E-03	4.77E-04	YES	1					
cspH	b0989	6.96E-07	2.97E-05	6.54E-05	8.10E-05	5.73E-05	2.81E-05	4.66E-05	YES	1					
cvrA	b1191	3.61E-05	4.75E-05	1.01E-04	4.80E-04	6.73E-04	6.97E-04	2.99E-04	YES	1					
yebF	b1847	3.86E-05	5.30E-05	1.21E-04	4.23E-04	4.42E-04	3.83E-04	2.33E-04	YES	1					
insA	b1894	1.92E-06	1.28E-05	1.81E-05	3.58E-05	4.57E-05	3.50E-05	2.09E-05	YES	1					
yehU	b2126	4.74E-05	3.12E-05	6.90E-04	1.97E-04	2.46E-05	3.91E-05	4.75E-05	YES	1					
rpoH	b3461	3.78E-04	9.13E-04	3.12E-03	8.80E-03	6.17E-03	4.53E-03	2.42E-03	YES	1					
eptB	b3546	5.09E-05	4.85E-05	1.41E-04	8.07E-04	9.82E-04	9.24E-04	3.59E-04	YES	1					
fdoH	b3893	2.10E-05	4.15E-05	1.10E-04	5.05E-04	5.91E-04	7.69E-04	6.94E-04	YES	1					
yabI	b0065	1.97E-05	4.50E-05	1.53E-04	6.29E-04	5.74E-04	5.96E-04	1.91E-04	YES	2		71351	71271	80	
degP	b0161	1.41E-04	1.60E-04	4.18E-04	3.43E-03	3.83E-03	2.71E-03	1.08E-03	YES	2		180884	180845	39	
