TU_ID	Gene_name	Left	Right	Strand	Expression_EP	Description
0	thrLABC	148	5019	+	3.7512423378774327	thrLABC
1	thrL	148	309	+	4.92240026403385	thrL
2	talB	8191	9225	+	66.55139029830922	talB
3	mbiA	10643	11314	+	0.1260591182148811	mbiA
4	mbiA	10644	11314	+	0.1262467061884152	mbiA
5	dnaK-tpke11-dnaJ	12048	15297	+	44.78263493677277	dnaK-tpke11-dnaJ
6	dnaK-tpke11-dnaJ	12123	15297	+	45.84015937640061	dnaK-tpke11-dnaJ
7	dnaK-tpke11-dnaJ	12144	15297	+	46.113073522958274	dnaK-tpke11-dnaJ
8	nhaAR	17317	19619	+	1.8606303012102259	nhaAR
9	nhaAR	17458	19619	+	1.979138534623151	nhaAR
10	rpsT	20771	21119	-	83.14169415353801	rpsT
11	rpsT	20771	21209	-	66.23119851248417	rpsT
12	ribF-ileS-lspA-fkpB-ispH	21383	27278	+	5.400889287631173	ribF-ileS-lspA-fkpB-ispH
13	ileS-lspA-fkpB-ispH	21833	27278	+	5.442468687394253	ileS-lspA-fkpB-ispH
14	ileS-lspA-fkpB-ispH	22034	27278	+	5.343511620534038	ileS-lspA-fkpB-ispH
15	ileS-lspA-fkpB-ispH	22229	27278	+	5.360890564150748	ileS-lspA-fkpB-ispH
16	lspA-fkpB-ispH	25014	27278	+	3.344683806187201	lspA-fkpB-ispH
17	dapB	28288	29271	+	3.8022229304402804	dapB
18	dapB	28343	29271	+	4.0270855768641685	dapB
19	carAB	29551	34119	+	0.4191297121993836	carAB
20	carAB	29619	34119	+	0.42546041420506064	carAB
21	carB	30775	34037	+	0.4474915678559653	carB
22	caiF	34218	34694	+	0.4748548552224699	caiF
23	caiTABCDE	34781	42036	-	0.15069559107044572	caiTABCDE
24	fixABCX	42325	45749	+	0.04823853835518154	fixABCX
25	yaaU	45592	47137	+	0.03586052253145886	yaaU
26	folA	49799	50301	+	5.300870155325392	folA
27	apaGH	50380	52033	-	3.960114602861411	apaGH
28	rsmA-apaGH	50380	52587	-	5.955241753458836	rsmA-apaGH
29	lptD	54755	57155	-	14.039491054835418	lptD
30	lptD	54755	57240	-	13.55965320213698	lptD
31	lptD-surA-pdxA	52427	57335	-	11.608472163806423	lptD-surA-pdxA
32	rapA-rluA	59687	63357	-	3.1604013585679325	rapA-rluA
33	rapA	60358	63587	-	3.0709541322556704	rapA
34	polB	63429	65802	-	0.314572466033417	polB
35	araBAD	65800	70074	-	0.07636877130889583	araBAD
36	araC	70241	71264	+	0.8051413836811568	araC
37	yabI	71271	72114	+	0.898083663092284	yabI
38	sroA	75516	75607	-	0.5922572969158156	sroA
39	sgrR-sroA-tbpA-thiPQ	72229	77337	-	0.2751826741044683	sgrR-sroA-tbpA-thiPQ
40	sgrST-setA	77367	78798	+	10.879534771440147	sgrST-setA
41	leuLABCD	78848	83734	-	0.4505875994268928	leuLABCD
42	leuL	83574	83734	-	0.4832016449155268	leuL
43	leuLABCD	78848	84023	-	0.4254340710833788	leuLABCD
44	leuO	84154	85311	+	0.11506349878299067	leuO
45	leuO	84188	85311	+	0.11854097341287662	leuO
46	leuO	84298	85311	+	0.1313877784132869	leuO
47	leuO	84304	85311	+	0.13216907342862852	leuO
48	ilvIH	85420	87847	+	0.717473222026114	ilvIH
49	ilvIH	85453	87847	+	0.7273549483728843	ilvIH
50	ilvIH	85540	87847	+	0.7547607000006197	ilvIH
51	ilvIH	85600	87847	+	0.7722986198350844	ilvIH
52	cra	87947	89031	+	7.019555629582658	cra
53	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	89596	107473	+	6.652581578099453	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
54	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90010	107473	+	6.559719663447962	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
55	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	90688	107473	+	6.463091145143124	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
56	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	91012	107473	+	6.481159266586872	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
57	ftsQ	102742	103984	+	6.344876418492793	ftsQ
58	ftsQAZ	102867	106455	+	9.662312222660246	ftsQAZ
59	ftsAZ	103561	106455	+	10.591360349271485	ftsAZ
60	ftsZ	104636	106455	+	12.953332479208981	ftsZ
61	ftsZ	104693	106455	+	13.264633088444583	ftsZ
62	ftsZ	105045	106455	+	15.238396854240682	ftsZ
63	lpxC	106508	107543	+	35.36518578961329	lpxC
64	lpxC	106530	107473	+	38.64690695783269	lpxC
65	ppdD-hofBC	114522	117704	-	0.25940353580164605	ppdD-hofBC
66	nadC	117752	118662	-	2.9293740710395526	nadC
67	ampDE	118703	120134	+	1.07542732820363	ampDE
68	aroP	120144	121649	-	0.9142486784401945	aroP
69	aroP	120144	121670	-	0.9016837424145114	aroP
70	pdhR-aceEF-lpd	122034	129393	+	52.30377612019068	pdhR-aceEF-lpd
71	aceEF	122969	127618	+	46.489905945163116	aceEF
72	lpd	127717	129393	+	96.89134418861128	lpd
73	acnB	131519	134271	+	22.979802676761327	acnB
74	acnB	131564	134211	+	23.88839600158634	acnB
75	yacL	134339	134749	+	9.795839274452907	yacL
76	yacC-speED	134756	136939	-	14.816802813961948	yacC-speED
77	cueO	137045	138632	+	0.6081059279248346	cueO
78	gcd	138801	141262	-	1.2631852817661464	gcd
79	gcd	138801	141278	-	1.2550324118555947	gcd
80	hpt	141360	141966	+	11.392932462203985	hpt
81	can	142008	142702	-	22.471654855492947	can
82	panD	146314	146744	-	11.437838698493755	panD
83	panD	146314	146753	-	11.204413418932655	panD
84	panBC	147944	149629	-	5.134254537109647	panBC
85	yadV-htrE	152829	156213	-	0.04525519941166071	yadV-htrE
86	yadV-htrE	152829	156223	-	0.04512193910715051	yadV-htrE
87	yadV-htrE	152829	156234	-	0.044976256298175275	yadV-htrE
88	pcnB-folK	157253	159150	-	7.355253313033128	pcnB-folK
89	pcnB-folK	157253	159170	-	7.278596165424653	pcnB-folK
90	pcnB-folK	157253	159194	-	7.197889875933714	pcnB-folK
91	pcnB-folK	157253	159390	-	6.642158787129513	pcnB-folK
92	dksA-gluQ	159186	160656	-	20.561284001931025	dksA-gluQ
93	dksA-gluQ	159186	160721	-	19.707415583475434	dksA-gluQ
94	dksA-gluQ	159186	160750	-	19.404320986945926	dksA-gluQ
95	sfsA-dksA	160149	161514	-	25.390801403465932	sfsA-dksA
96	mrcB	164721	167263	+	1.9174037981039211	mrcB
97	fhuACDB	167442	173443	+	2.623854627872702	fhuACDB
98	hemL	173602	174901	-	2.6506284498647643	hemL
99	hemL	173602	174920	-	2.6124754646015593	hemL
100	hemL	173602	174940	-	2.573483293488103	hemL
101	erpA	176561	176953	+	10.081872317502425	erpA
102	mtn-btuF-yadS	177001	179182	-	4.454036336108442	mtn-btuF-yadS
103	dgt	179196	180753	+	1.5415066942311382	dgt
104	dgt	179214	180753	+	1.5595126127880237	dgt
105	degP	180845	182307	+	8.783420040426641	degP
106	cdaR	182447	183619	+	1.6010471373876765	cdaR
107	dapD	185090	185976	-	21.510507652655196	dapD
108	glnD	185978	188654	-	1.278579769835489	glnD
109	tff-rpsB-tsf	189712	191737	+	189.87403617017995	tff-rpsB-tsf
110	pyrH	191812	192579	+	19.493351116774154	pyrH
111	frr	192814	193497	+	30.893488653842127	frr
112	ispU	194784	195663	+	10.073091758923093	ispU
113	ispU	194901	195663	+	11.560322964071148	ispU
114	rseP	196470	197897	+	12.14075374066155	rseP
115	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	197026	208607	+	15.683929337681546	bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
116	bamA	197821	200359	+	25.392000209577958	bamA
117	skp-lpxD-fabZ-lpxA	200455	203347	+	30.61024489303559	skp-lpxD-fabZ-lpxA
118	lpxD	200960	201995	+	27.583361484831983	lpxD
119	accA	208326	209579	+	14.783745942244812	accA
120	accA	208411	209579	+	15.077777151028377	accA
121	yaeP-rof	213678	214186	-	3.692367381072336	yaeP-rof
122	yaeQ-arfB-nlpE	214280	215978	+	2.724240237375843	yaeQ-arfB-nlpE
123	proS	217020	218836	-	11.516286467434036	proS
124	metNIQ	220113	222713	-	4.10284990872478	metNIQ
125	gmhB	222806	223407	+	5.209313153524453	gmhB
